id;DESCRIPTION;price;link;image_link;availability;brand;delivery_time;gtin_ean;product_type;sale_price;size;stock;title
BN44-00807D REV: 1.1;Fuente Alimentacion SAMSUNG UE48JU6400K BN44-00807A REV:1.1;37.19;https://www.sspelectronic.com/producto/45-;https://www.sspelectronic.com/images/productos/img/45-1-original.jpg;S;SAMSUNG;2;1300000000041;Fuentes de Alimentación;45;0.5 x 0.5 x 0.5;0;Fuente Alimentacion SAMSUNG UE48JU6400K BN44-00807A REV:1.1
BN44-00878A REV 1.1;Fuente Alimentacion Samsung BN44-00878A REV 1.1;57.85;https://www.sspelectronic.com/producto/46-;https://www.sspelectronic.com/images/productos/img/46-1-original.jpg;S;;2;1300000000042;Fuentes de Alimentación;70;0.5 x 0.5 x 0.5;0;Fuente Alimentacion Samsung BN44-00878A REV 1.1
BN44-00899B   rev 1.3   ¨SWAP¨;Fuente Alimentacion SAMSUNG BN44-00899B   rev 1.3   ¨SWAP¨;24.79;https://www.sspelectronic.com/producto/47-;https://www.sspelectronic.com/images/productos/img/47-1-original.jpg;S;;2;1300000000043;Fuentes de Alimentación;30;0.5 x 0.5 x 0.5;0;Fuente Alimentacion SAMSUNG BN44-00899B rev 1.3 ¨SWAP¨
P75-3663SV6.3;Placa Main P75-3663SV6.3 TV SILVER, modelo: IPLE-32/495523;33.06;https://www.sspelectronic.com/producto/48-;https://www.sspelectronic.com/images/productos/img/48-1-original.jpg;S;SILVER;2;1300000000044;Placas Main;40;0.5 x 0.5 x 0.5;0;Placa Main P75-3663SV6.3 TV SILVER, modelo: IPLE-32/495523
IP-LE32/495523 PEQUEÑO;Mando a Distancia SILVER IP-LE32/495523 NUEVO y ORIGINAL;12.4;https://www.sspelectronic.com/producto/49-;https://www.sspelectronic.com/images/productos/img/49-1-original.jpg;S;SILVER;2;1300000000045;Mandos a Distancia;15;0.5 x 0.5 x 0.5;0;Mando a Distancia SILVER IP-LE32/495523 NUEVO y ORIGINAL
715G8080-T0C-000-004L;Módulo Ir 715G8080-T0C-000-004L, Acer Z271;8.26;https://www.sspelectronic.com/producto/50-;https://www.sspelectronic.com/images/productos/img/50-1-original.jpg;S;;2;1300000000046;Módulos IR;10;0.5 x 0.5 x 0.5;2;Módulo Ir 715G8080-T0C-000-004L, Acer Z271
HL-00320A30-0601S-07 A1 2*6;Tira 6 leds HL-00320A30-0601S-07 A1 2*6 Silver IP-LE32/495523;12.4;https://www.sspelectronic.com/producto/51-;https://www.sspelectronic.com/images/productos/img/51-1-original.jpg;S;;2;1300000000047;Tiras Leds TV;15;0.5 x 0.5 x 0.5;0;Tira 6 leds HL-00320A30-0601S-07 A1 2*6 Silver IP-LE32/495523
pies IP-LE32/495523;"Pies Tv Silver IP-LE32/495523 32""";16.53;https://www.sspelectronic.com/producto/52-;https://www.sspelectronic.com/images/productos/img/52-1-original.jpg;S;;2;1300000000048;Soportes, Pies, Peanas...;20;0.5 x 0.5 x 0.5;3;"Pies Tv Silver IP-LE32/495523 32"""
LE-40P28SPKCVR_L / R;Altavoces Silver IPLE-40/410920 LE-40P28SPKCVR_L / R con Módulo Botonera;8.26;https://www.sspelectronic.com/producto/53-;https://www.sspelectronic.com/images/productos/img/53-1-original.jpg;S;;2;1300000000049;Altavoces TV;10;0.5 x 0.5 x 0.5;5;Altavoces Silver IPLE-40/410920 LE-40P28SPKCVR_L / R con Módulo Botonera
824.810-DX70235BL(R);Altavoz TV Silver IP-LE32/495523 824.810-DX70235BL(R)-0H LE-32Z1 SPK CVR_L(R) XYD ME-01;8.26;https://www.sspelectronic.com/producto/54-;https://www.sspelectronic.com/images/productos/img/54-1-original.jpg;S;;2;1300000000050;Altavoces TV;10;0.5 x 0.5 x 0.5;3;Altavoz TV Silver IP-LE32/495523 824.810-DX70235BL(R)-0H LE-32Z1 SPK CVR_L(R) XYD ME-01
JCT190114;Módulo Ir, Botón encendido... JCT190114, 890.KE0-LE32Z1M-0H Silver IP-LE32/495523;8.26;https://www.sspelectronic.com/producto/55-;https://www.sspelectronic.com/images/productos/img/55-1-original.jpg;S;;2;1300000000051;Módulos IR;10;0.5 x 0.5 x 0.5;0;Módulo Ir, Botón encendido... JCT190114, 890.KE0-LE32Z1M-0H Silver IP-LE32/495523
cable alim silver;Cable Alimentación Silver IP-LE32/495523, IPLE-40/410920, IP-LE32/495523...;4.13;https://www.sspelectronic.com/producto/56-;https://www.sspelectronic.com/images/productos/img/56-1-original.jpg;S;;2;1300000000052;Cable Alimentación;5;0.5 x 0.5 x 0.5;10;Cable Alimentación Silver IP-LE32/495523, IPLE-40/410920, IP-LE32/495523...
BN41-02534B;Placa Main SAMSUNG QE65Q80AATXXH VER:03 BN94-16876J BN41-02855A;99.17;https://www.sspelectronic.com/producto/57-;https://www.sspelectronic.com/images/productos/img/57-1-original.jpg;S;SAMSUNG;2;1300000000053;Placas Main;120;0.5 x 0.5 x 0.5;1;Placa Main SAMSUNG QE65Q80AATXXH VER:03 BN94-16876J BN41-02855A
BN41-02358C BN94-08202F;Placa Main Samsung UE32J4000AW BN41-02358C BN94-08202F;33.06;https://www.sspelectronic.com/producto/58-;https://www.sspelectronic.com/images/productos/img/58-1-original.jpg;S;;2;1300000000054;Placas Main;40;0.5 x 0.5 x 0.5;0;Placa Main Samsung UE32J4000AW BN41-02358C BN94-08202F
BN94-10832D;Samsung Main Board BN94-10832D BN41-02528A UE55KU6020KWWU;37.19;https://www.sspelectronic.com/producto/59-;https://www.sspelectronic.com/images/productos/img/59-1-original.jpg;S;;2;1300000000055;Placas Main;45;0.5 x 0.5 x 0.5;0;Samsung Main Board BN94-10832D BN41-02528A UE55KU6020KWWU
BN94-09060P BN41-02105A;Placa Main Samsung BN94-09060P BN41-02105A Samsung UE28J4100AW;24.79;https://www.sspelectronic.com/producto/60-;https://www.sspelectronic.com/images/productos/img/60-1-original.jpg;S;;2;1300000000056;Placas Main;30;0.5 x 0.5 x 0.5;0;Placa Main Samsung BN94-09060P BN41-02105A Samsung UE28J4100AW
